Order Date,Customer Name,Region,Category,Sales,Profit
2025-03-20 11:44:21.062245,Customer_315,South,Technology,1720.3940556386058,454.81700425559166
2025-03-20 11:44:21.062245,Customer_493,West,Office Supplies,1585.9698386547207,499.3690468603297
2025-03-20 11:44:21.062245,Customer_237,South,Technology,1716.1874122115366,437.0135687603366
2025-03-20 11:44:21.062245,Customer_158,North,Furniture,1743.5284948454007,284.0796701398013
2025-03-20 11:44:21.062245,Customer_8,West,Office Supplies,1527.219366610074,521.0587659767015
2025-03-20 11:44:21.062245,Customer_400,West,Technology,1583.725479852003,441.53330723917236
2025-03-20 11:44:21.062245,Customer_7,North,Office Supplies,1200.7484415567571,378.23961894095913
2025-03-20 11:44:21.062245,Customer_20,South,Technology,1781.3522171100942,366.8717055727161
2025-03-20 11:44:21.062245,Customer_196,North,Technology,1577.4679359277545,361.69852955264633
2025-03-21 11:44:21.062245,Customer_426,North,Furniture,98.47605603579862,13.884239011501057
2025-03-21 11:44:21.062245,Customer_388,South,Furniture,1358.1120275130738,230.21750388811645
2025-03-21 11:44:21.062245,Customer_285,East,Furniture,1020.4915211181557,141.08782940639065
2025-03-21 11:44:21.062245,Customer_154,North,Office Supplies,872.0307840251668,267.33315910852764
2025-03-21 11:44:21.062245,Customer_493,West,Office Supplies,226.46780663694017,69.39400089128344
2025-03-21 11:44:21.062245,Customer_498,East,Furniture,1234.9870000490814,189.25894565831777
2025-03-22 11:44:21.062245,Customer_285,West,Office Supplies,159.68105391458636,48.481382394064596
2025-03-22 11:44:21.062245,Customer_62,South,Technology,1051.7225379639833,239.71546629144538
2025-03-22 11:44:21.062245,Customer_393,South,Furniture,1831.8417564424074,254.82414629120078
2025-03-22 11:44:21.062245,Customer_422,West,Office Supplies,833.0063891103008,262.3567535229148
2025-03-23 11:44:21.062245,Customer_354,West,Furniture,601.6275240834121,103.92911733383775
2025-03-23 11:44:21.062245,Customer_262,West,Office Supplies,154.2444895793954,40.83250009888768
2025-03-23 11:44:21.062245,Customer_379,North,Furniture,1079.2763732444844,182.64571041235752
2025-03-23 11:44:21.062245,Customer_156,East,Office Supplies,666.209209589468,210.81060631466042
2025-03-23 11:44:21.062245,Customer_226,South,Technology,175.7764794387955,39.6060878568248
2025-03-23 11:44:21.062245,Customer_302,East,Office Supplies,986.1757773680905,332.5940471259606
2025-03-23 11:44:21.062245,Customer_54,West,Office Supplies,1050.6815318446006,264.268294717441
2025-03-23 11:44:21.062245,Customer_156,West,Technology,241.2128046967923,60.112201769030484
2025-03-24 11:44:21.062245,Customer_314,West,Office Supplies,1464.6821663301996,379.680139463097
2025-03-24 11:44:21.062245,Customer_201,East,Technology,1425.347952945058,320.7383993335667
2025-03-24 11:44:21.062245,Customer_424,East,Technology,1335.1176281430526,386.28512889983284
2025-03-24 11:44:21.062245,Customer_354,West,Furniture,1395.1562011503931,179.48694147273875
2025-03-24 11:44:21.062245,Customer_138,North,Furniture,883.636122241064,124.98943366910378
2025-03-24 11:44:21.062245,Customer_99,East,Office Supplies,1667.3862973462608,461.7441229680791
2025-03-24 11:44:21.062245,Customer_381,South,Technology,1646.5562802491736,342.3497439726536
2025-03-24 11:44:21.062245,Customer_425,South,Technology,1475.309670069415,342.0144015173075
2025-03-25 11:44:21.062245,Customer_419,West,Office Supplies,1623.0374167889802,485.05053467536806
